order_id,restaurant_id,order_date,order_value_eur,order_channel,fulfilment_type,order_status
ORD-0000169,R-0002,2025-12-24,31.50,app,delivery,cancelled
ORD-0000170,R-0002,2025-12-15,26.63,web,delivery,completed
ORD-0000171,R-0002,2025-12-15,25.47,app,delivery,completed
ORD-0000172,R-0002,2025-12-20,17.30,app,delivery,completed
ORD-0000173,R-0002,2025-12-09,41.93,web,delivery,completed
ORD-0000174,R-0002,2025-12-08,24.92,app,delivery,completed
ORD-0000175,R-0002,2025-12-31,32.30,web,delivery,COMPLETED
ORD-0000176,R-0002,2025-12-27,36.83,web,delivery,completed
ORD-0000177,R-0002,2025-12-23,18.67,app,delivery,COMPLETED
ORD-0000178,R-0002,2025-12-05,22.30,app,delivery,cancelled
ORD-0000179,R-0002,2025-12-02,44.75,app,pickup,completed
ORD-0000180,R-0002,2025-12-06,32.61,web,delivery,completed
ORD-0000181,R-0002,2025-12-29,22.99,web,delivery,completed
ORD-0000182,R-0002,2025-12-26,28.62,app,delivery,CANCELLED
ORD-0000183,R-0002,2025-12-17,38.73,web,pickup,Completed
ORD-0000184,R-0002,2025-12-30,36.93,app,delivery,completed
ORD-0000185,R-0002,2025-12-05,18.81,app,delivery,cancelled
ORD-0000186,R-0002,2025-12-18,45.98,web,delivery,completed
ORD-0000187,R-0002,2025-12-06,40.29,web,delivery,completed
ORD-0000188,R-0002,2025-12-11,26.28,app,pickup,completed
ORD-0000189,R-0002,2025-12-29,18.98,app,delivery,completed
ORD-0000190,R-0002,2025-12-27,41.41,app,delivery,completed
ORD-0000191,R-0002,2025-12-04,32.00,app,delivery,completed
ORD-0000192,R-0002,2025-12-08,17.47,app,pickup,completed
ORD-0000193,R-0002,2025-12-19,27.69,web,pickup,completed
ORD-0000194,R-0002,2025-12-03,73.36,app,pickup,completed
ORD-0000195,R-0002,2025-12-18,27.71,app,pickup,completed
ORD-0000196,R-0002,2025-12-19,23.60,web,pickup,completed
ORD-0000197,R-0002,2025-12-10,20.10,app,delivery,completed
ORD-0000198,R-0002,2025-12-10,48.01,app,delivery,completed
ORD-0000199,R-0002,2025-12-07,38.82,web,delivery,COMPLETED
ORD-0000200,R-0002,2025-12-29,42.83,app,delivery,COMPLETED
ORD-0000201,R-0002,2025-12-13,32.18,app,pickup,completed
ORD-0000202,R-0002,2025-12-19,44.09,app,delivery,completed
ORD-0000203,R-0002,2025-12-10,21.14,app,delivery,completed
ORD-0000204,R-0002,2025-12-22,29.01,app,delivery,Completed
ORD-0000205,R-0002,2025-12-04,30.16,app,delivery,completed
ORD-0000206,R-0002,2025-12-03,42.50,app,delivery,completed
ORD-0000207,R-0002,2025-12-24,30.46,web,delivery,COMPLETED
ORD-0000208,R-0002,2025-12-23,22.66,app,pickup,completed
ORD-0000209,R-0002,2025-12-09,28.13,app,delivery,completed
ORD-0000210,R-0002,2025-12-12,17.61,app,delivery,refunded
ORD-0000211,R-0002,2025-12-30,13.33,web,delivery,completed
ORD-0000212,R-0002,2025-12-05,38.62,app,pickup,Completed
ORD-0000213,R-0002,2025-12-06,26.48,web,delivery,completed
ORD-0000214,R-0002,2025-12-14,27.43,app,delivery,completed
ORD-0000215,R-0002,2025-12-10,35.76,web,pickup,completed
