order_id,restaurant_id,order_date,order_value_eur,order_channel,fulfilment_type,order_status
ORD-0000085,R-0002,2025-11-15,"34,27",app,delivery,completed
ORD-0000086,R-0002,2025-11-17,"21,69",app,pickup,completed
ORD-0000087,R-0002,2025-11-23,"35,12",app,pickup,completed
ORD-0000088,R-0002,2025-11-15,"39,10",web,delivery,Completed
ORD-0000089,R-0002,2025-11-21,"24,77",web,delivery,COMPLETED
ORD-0000090,R-0002,2025-11-15,"29,27",web,delivery,completed
ORD-0000091,R-0002,2025-11-21,"22,49",app,pickup,cancelled
ORD-0000092,R-0002,2025-11-21,"20,81",app,delivery,completed
ORD-0000093,R-0002,2025-11-22,"41,19",web,delivery,completed
ORD-0000094,R-0002,2025-11-26,"23,18",app,delivery,completed
ORD-0000095,R-0002,2025-11-16,"13,98",app,pickup,completed
ORD-0000096,R-0002,2025-11-07,"51,74",app,pickup,Completed
ORD-0000097,R-0002,2025-11-21,"23,16",app,pickup,completed
ORD-0000098,R-0002,2025-11-02,"27,56",web,delivery,completed
ORD-0000099,R-0002,2025-11-07,"49,77",web,delivery,completed
ORD-0000100,R-0002,2025-11-24,"26,37",web,delivery,completed
ORD-0000101,R-0002,2025-11-14,"28,29",app,delivery,Completed
ORD-0000102,R-0002,2025-11-15,"20,27",app,delivery,completed
ORD-0000103,R-0002,2025-11-30,"17,85",web,pickup,completed
ORD-0000104,R-0002,2025-11-08,"28,26",app,delivery,CANCELLED
ORD-0000105,R-0002,2025-11-01,"33,35",app,delivery,completed
ORD-0000106,R-0002,2025-11-04,"30,33",web,delivery,completed
ORD-0000107,R-0002,2025-11-08,"25,61",app,pickup,COMPLETED
ORD-0000108,R-0002,2025-11-22,"29,96",app,delivery,completed
ORD-0000109,R-0002,2025-11-24,"15,51",web,delivery,completed
ORD-0000110,R-0002,2025-11-17,"31,84",app,delivery,completed
ORD-0000111,R-0002,2025-11-08,"31,32",app,delivery,completed
ORD-0000112,R-0002,2025-11-16,"55,23",app,delivery,completed
ORD-0000113,R-0002,2025-11-01,"29,84",web,delivery,completed
ORD-0000114,R-0002,2025-11-21,"22,16",web,pickup,completed
ORD-0000115,R-0002,2025-11-19,"27,13",web,delivery,completed
ORD-0000116,R-0002,2025-11-01,"26,87",app,delivery,completed
ORD-0000117,R-0002,2025-11-25,"31,59",web,delivery,completed
ORD-0000118,R-0002,2025-11-23,"30,02",web,delivery,completed
ORD-0000119,R-0002,2025-11-09,"20,07",app,delivery,completed
ORD-0000120,R-0002,2025-11-20,"16,52",app,delivery,completed
ORD-0000121,R-0002,2025-11-19,"29,93",web,pickup,completed
ORD-0000122,R-0002,2025-11-05,"42,51",web,pickup,completed
ORD-0000123,R-0002,2025-11-07,"30,52",web,pickup,completed
ORD-0000124,R-0002,2025-11-21,"38,41",web,delivery,completed
ORD-0000125,R-0002,2025-11-29,"40,88",web,pickup,completed
ORD-0000126,R-0002,2025-11-18,"29,97",app,pickup,completed
ORD-0000127,R-0002,2025-11-18,"21,36",app,delivery,completed
ORD-0000128,R-0002,2025-11-21,"31,65",web,delivery,completed
ORD-0000129,R-0002,2025-11-14,"43,45",app,pickup,completed
ORD-0000130,R-0002,2025-11-02,"35,15",app,pickup,completed
ORD-0000131,R-0002,2025-11-13,"34,84",web,delivery,completed
ORD-0000132,R-0002,2025-11-28,"25,76",app,delivery,completed
ORD-0000133,R-0002,2025-11-25,"25,87",web,delivery,completed
ORD-0000134,R-0002,2025-11-29,"28,69",app,delivery,completed
ORD-0000135,R-0002,2025-11-05,"27,13",app,pickup,completed
ORD-0000136,R-0002,2025-11-15,"42,92",app,delivery,completed
ORD-0000137,R-0002,2025-11-18,"13,22",web,pickup,completed
ORD-0000138,R-0002,2025-11-07,"30,06",web,pickup,completed
ORD-0000139,R-0002,2025-11-07,"29,04",app,delivery,completed
ORD-0000140,R-0002,2025-11-24,"17,94",app,pickup,completed
ORD-0000141,R-0002,2025-11-21,"36,74",app,pickup,completed
ORD-0000142,R-0002,2025-11-21,"23,73",web,delivery,completed
ORD-0000143,R-0002,2025-11-08,"26,62",web,delivery,completed
ORD-0000144,R-0002,2025-11-15,"53,11",web,pickup,completed
ORD-0000145,R-0002,2025-11-01,"40,85",app,delivery,completed
ORD-0000146,R-0002,2025-11-04,"33,00",app,delivery,completed
ORD-0000147,R-0002,2025-11-16,"33,54",app,delivery,completed
ORD-0000148,R-0002,2025-11-09,"28,28",app,delivery,completed
ORD-0000149,R-0002,2025-11-30,"55,68",app,delivery,completed
ORD-0000150,R-0002,2025-11-15,"38,27",app,delivery,COMPLETED
ORD-0000151,R-0002,2025-11-03,"21,80",app,delivery,completed
ORD-0000152,R-0002,2025-11-01,"19,21",web,delivery,cancelled
ORD-0000153,R-0002,2025-11-22,"35,55",app,pickup,completed
ORD-0000154,R-0002,2025-11-06,"27,09",web,delivery,COMPLETED
ORD-0000155,R-0002,2025-11-07,"19,03",web,pickup,completed
ORD-0000156,R-0002,2025-11-14,"34,05",app,pickup,completed
ORD-0000157,R-0002,2025-11-08,"27,37",app,delivery,completed
ORD-0000158,R-0002,2025-11-20,"32,55",web,pickup,completed
ORD-0000159,R-0002,2025-11-15,"34,19",app,delivery,completed
ORD-0000160,R-0002,2025-11-04,"22,79",app,pickup,completed
ORD-0000161,R-0002,2025-11-24,"33,61",app,delivery,completed
ORD-0000162,R-0002,2025-11-14,"25,48",web,delivery,completed
ORD-0000163,R-0002,2025-11-19,"24,07",web,delivery,completed
ORD-0000164,R-0002,2025-11-01,"25,20",web,delivery,completed
ORD-0000165,R-0002,2025-11-20,"39,28",web,pickup,completed
ORD-0000166,R-0002,2025-11-09,"27,27",app,pickup,completed
ORD-0000167,R-0002,2025-11-15,"45,75",web,delivery,completed
ORD-0000168,R-0002,2025-11-09,"52,04",web,delivery,completed
ORD-0000835,R-0005,2025-11-19,"38,00",web,pickup,Completed
ORD-0000836,R-0005,2025-11-25,"19,74",app,delivery,completed
ORD-0000837,R-0005,2025-11-18,"18,60",web,pickup,completed
ORD-0000838,R-0005,2025-11-22,"21,84",web,delivery,Completed
ORD-0000839,R-0005,2025-11-22,"16,31",web,delivery,completed
ORD-0000840,R-0005,2025-11-29,"25,71",web,delivery,completed
ORD-0000841,R-0005,2025-11-22,"23,18",app,delivery,completed
