order_id,restaurant_id,order_date,order_value_eur,order_channel,fulfilment_type,order_status
ORD-0000001,R-0001,2026-08-30,32.86,app,delivery,COMPLETED
ORD-0000002,R-0001,2026-08-17,13.08,app,pickup,COMPLETED
ORD-0000003,R-0001,2026-08-16,26.30,app,delivery,completed
ORD-0000004,R-0001,2026-08-27,41.40,web,delivery,completed
ORD-0000005,R-0001,2026-08-22,36.00,app,delivery,completed
ORD-0000006,R-0001,2026-08-24,39.32,app,delivery,completed
ORD-0000007,R-0001,2026-08-27,33.83,app,pickup,completed
ORD-0000008,R-0001,2026-08-23,69.16,app,delivery,completed
ORD-0000009,R-0001,2026-08-28,23.74,app,delivery,completed
ORD-0000010,R-0001,2026-08-19,31.25,app,delivery,completed
ORD-0000011,R-0001,2026-08-29,25.05,web,delivery,completed
ORD-0000012,R-0001,2026-08-15,41.19,app,pickup,completed
ORD-0000013,R-0001,2026-08-25,26.53,app,delivery,completed
ORD-0000014,R-0001,2026-08-29,54.05,app,delivery,Completed
ORD-0000015,R-0001,2026-08-18,22.44,app,pickup,completed
ORD-0000016,R-0001,2026-08-19,44.78,app,pickup,completed
ORD-0000017,R-0001,2026-08-19,33.50,app,pickup,refunded
ORD-0000018,R-0001,2026-08-23,28.95,web,delivery,completed
ORD-0000649,R-0003,2026-08-07,30.99,web,delivery,completed
ORD-0000650,R-0003,2026-08-20,70.18,web,delivery,cancelled
ORD-0000651,R-0003,2026-08-30,13.34,app,pickup,completed
ORD-0000652,R-0003,2026-08-17,18.11,web,delivery,completed
ORD-0000653,R-0003,2026-08-31,22.95,app,pickup,cancelled
ORD-0000654,R-0003,2026-08-10,66.31,app,pickup,cancelled
ORD-0000655,R-0003,2026-08-18,54.55,web,delivery,Completed
ORD-0000656,R-0003,2026-08-10,44.01,app,delivery,completed
ORD-0000657,R-0003,2026-08-01,19.75,web,delivery,completed
ORD-0000658,R-0003,2026-08-31,19.21,app,delivery,completed
ORD-0000659,R-0003,2026-08-08,19.47,web,delivery,completed
ORD-0000660,R-0003,2026-08-30,19.84,app,delivery,completed
ORD-0000661,R-0003,2026-08-21,51.80,app,pickup,completed
ORD-0000662,R-0003,2026-08-29,24.91,web,delivery,completed
ORD-0000663,R-0003,2026-08-30,26.34,web,pickup,completed
ORD-0000664,R-0003,2026-08-18,35.43,app,delivery,completed
ORD-0000665,R-0003,2026-08-31,12.68,web,delivery,completed
ORD-0000666,R-0003,2026-08-24,26.14,app,delivery,completed
ORD-0000667,R-0003,2026-08-16,17.39,app,delivery,completed
ORD-0000668,R-0003,2026-08-21,24.38,web,delivery,completed
ORD-0000669,R-0003,2026-08-07,21.56,web,delivery,completed
ORD-0000670,R-0003,2026-08-01,21.10,web,pickup,Completed
ORD-0000671,R-0003,2026-08-08,30.36,web,delivery,completed
ORD-0000672,R-0003,2026-08-14,30.30,web,delivery,completed
ORD-0000673,R-0003,2026-08-08,25.16,app,pickup,completed
ORD-0000674,R-0003,2026-08-16,32.28,app,delivery,completed
ORD-0000675,R-0003,2026-08-21,19.14,app,delivery,completed
ORD-0000676,R-0003,2026-08-21,36.80,web,delivery,completed
ORD-0000677,R-0003,2026-08-28,25.31,app,delivery,completed
ORD-0000678,R-0003,2026-08-30,22.51,web,delivery,completed
ORD-0000679,R-0003,2026-08-28,19.75,web,delivery,completed
ORD-0000680,R-0003,2026-08-20,23.09,web,delivery,completed
ORD-0000681,R-0003,2026-08-07,60.74,app,delivery,completed
ORD-0000682,R-0003,2026-08-30,26.88,app,delivery,completed
ORD-0000683,R-0003,2026-08-06,15.78,web,pickup,completed
ORD-0000684,R-0003,2026-08-05,37.65,web,delivery,completed
ORD-0000685,R-0003,2026-08-10,20.95,web,delivery,completed
ORD-0000686,R-0003,2026-08-18,28.81,web,pickup,completed
ORD-0000687,R-0003,2026-08-22,21.39,web,delivery,Completed
ORD-0000688,R-0003,2026-08-01,47.37,app,delivery,completed
ORD-0000689,R-0003,2026-08-25,19.93,web,delivery,COMPLETED
ORD-0000690,R-0003,2026-08-06,46.08,app,pickup,COMPLETED
ORD-0000691,R-0003,2026-08-09,17.74,web,delivery,completed
ORD-0000692,R-0003,2026-08-10,22.59,app,delivery,completed
ORD-0000693,R-0003,2026-08-11,46.12,app,pickup,completed
ORD-0000694,R-0003,2026-08-24,27.44,app,delivery,completed
ORD-0000695,R-0003,2026-08-01,71.92,web,delivery,completed
ORD-0000696,R-0003,2026-08-07,24.65,web,delivery,completed
ORD-0000697,R-0003,2026-08-01,30.77,app,delivery,completed
ORD-0000698,R-0003,2026-08-25,57.07,app,pickup,completed
ORD-0000699,R-0003,2026-08-31,13.50,app,pickup,completed
ORD-0000700,R-0003,2026-08-21,13.84,app,delivery,completed
ORD-0000701,R-0003,2026-08-19,18.28,web,delivery,completed
ORD-0000702,R-0003,2026-08-29,38.90,app,delivery,completed
ORD-0000703,R-0003,2026-08-08,14.00,web,delivery,completed
ORD-0000704,R-0003,2026-08-02,35.51,web,pickup,completed
ORD-0000705,R-0003,2026-08-16,34.47,app,delivery,completed
ORD-0000706,R-0003,2026-08-08,64.54,web,delivery,completed
ORD-0000707,R-0003,2026-08-15,42.90,web,pickup,completed
ORD-0000708,R-0003,2026-08-15,32.19,web,pickup,Completed
ORD-0000709,R-0003,2026-08-10,45.33,web,delivery,completed
ORD-0000710,R-0003,2026-08-15,34.65,app,pickup,completed
ORD-0000711,R-0003,2026-08-13,21.06,app,delivery,completed
ORD-0000712,R-0003,2026-08-04,15.78,web,delivery,completed
ORD-0000713,R-0003,2026-08-28,21.72,web,delivery,refunded
ORD-0000714,R-0003,2026-08-22,27.14,web,pickup,completed
ORD-0000715,R-0003,2026-08-01,29.72,web,delivery,completed
ORD-0000716,R-0003,2026-08-04,10.39,web,delivery,Completed
ORD-0000717,R-0003,2026-08-03,23.30,app,pickup,completed
ORD-0000718,R-0003,2026-08-02,27.94,web,delivery,completed
ORD-0000719,R-0003,2026-08-02,34.77,web,delivery,Completed
ORD-0000720,R-0003,2026-08-06,50.75,app,delivery,completed
ORD-0000721,R-0003,2026-08-27,27.64,app,pickup,COMPLETED
ORD-0000722,R-0003,2026-08-27,17.42,web,delivery,completed
ORD-0000806,R-0004,2026-08-19,18.17,app,delivery,completed
ORD-0000807,R-0004,2026-08-29,45.09,web,delivery,COMPLETED
ORD-0000808,R-0004,2026-08-09,56.13,web,delivery,completed
ORD-0000809,R-0004,2026-08-28,21.46,web,delivery,completed
ORD-0000810,R-0004,2026-08-30,47.60,app,delivery,completed
ORD-0000811,R-0004,2026-08-27,10.26,app,delivery,completed
ORD-0000812,R-0004,2026-08-18,37.75,app,delivery,completed
ORD-0000813,R-0004,2026-08-23,19.68,web,delivery,completed
ORD-0000814,R-0004,2026-08-15,39.26,web,delivery,COMPLETED
ORD-0000815,R-0004,2026-08-19,17.52,app,delivery,completed
ORD-0000816,R-0004,2026-08-30,26.49,web,pickup,completed
ORD-0000817,R-0004,2026-08-08,20.03,app,pickup,completed
ORD-0000818,R-0004,2026-08-25,23.22,app,delivery,completed
ORD-0000819,R-0004,2026-08-16,54.16,web,delivery,completed
ORD-0000820,R-0004,2026-08-06,24.17,app,delivery,completed
ORD-0000821,R-0004,2026-08-21,60.19,web,delivery,COMPLETED
ORD-0000822,R-0004,2026-08-25,21.76,app,delivery,completed
ORD-0000823,R-0004,2026-08-18,44.15,web,delivery,completed
ORD-0000824,R-0004,2026-08-27,13.64,app,delivery,completed
ORD-0000825,R-0004,2026-08-12,22.59,app,delivery,COMPLETED
ORD-0000826,R-0004,2026-08-29,22.21,app,delivery,completed
ORD-0000827,R-0004,2026-08-21,48.51,web,delivery,Cancelled
ORD-0000828,R-0004,2026-08-26,26.99,web,delivery,completed
ORD-0000829,R-0004,2026-08-09,12.38,web,delivery,completed
ORD-0000830,R-0004,2026-08-14,16.59,app,delivery,completed
ORD-0000831,R-0004,2026-08-29,18.56,app,delivery,completed
ORD-0000832,R-0004,2026-08-02,38.64,app,pickup,completed
ORD-0000833,R-0004,2026-08-13,34.08,web,delivery,completed
ORD-0000834,R-0004,2026-08-25,22.48,app,delivery,COMPLETED
ORD-0003742,R-0005,2026-08-25,12.49,app,delivery,Completed
ORD-0003743,R-0005,2026-08-22,45.91,web,delivery,completed
ORD-0003744,R-0005,2026-08-14,12.97,app,delivery,completed
ORD-0003745,R-0005,2026-08-14,19.51,web,delivery,completed
ORD-0003746,R-0005,2026-08-08,15.38,app,delivery,completed
ORD-0003747,R-0005,2026-08-05,14.89,app,pickup,completed
ORD-0003748,R-0005,2026-08-01,14.34,web,delivery,completed
ORD-0003749,R-0005,2026-08-28,16.94,app,delivery,completed
ORD-0003750,R-0005,2026-08-16,27.57,web,delivery,completed
ORD-0003751,R-0005,2026-08-01,10.96,app,pickup,completed
ORD-0003752,R-0005,2026-08-17,27.89,web,delivery,completed
ORD-0003753,R-0005,2026-08-08,28.51,web,pickup,completed
ORD-0003754,R-0005,2026-08-14,23.69,app,pickup,completed
ORD-0003755,R-0005,2026-08-22,20.96,web,delivery,completed
ORD-0003756,R-0005,2026-08-26,20.36,web,delivery,completed
ORD-0003757,R-0005,2026-08-22,31.73,web,delivery,completed
ORD-0003758,R-0005,2026-08-29,11.52,web,delivery,completed
ORD-0003759,R-0005,2026-08-08,25.40,web,delivery,completed
ORD-0003760,R-0005,2026-08-21,15.85,app,pickup,COMPLETED
ORD-0003761,R-0005,2026-08-28,26.21,web,pickup,completed
ORD-0003762,R-0005,2026-08-10,15.32,web,delivery,completed
ORD-0003763,R-0005,2026-08-26,23.36,web,delivery,completed
ORD-0003764,R-0005,2026-08-29,12.27,web,delivery,completed
ORD-0003765,R-0005,2026-08-21,11.71,app,delivery,completed
ORD-0003766,R-0005,2026-08-06,17.97,web,delivery,completed
ORD-0003767,R-0005,2026-08-08,31.85,web,pickup,completed
ORD-0003768,R-0005,2026-08-22,23.89,app,delivery,completed
ORD-0003769,R-0005,2026-08-28,23.84,web,delivery,completed
ORD-0003770,R-0005,2026-08-01,26.50,web,delivery,completed
ORD-0003771,R-0005,2026-08-10,16.41,web,delivery,completed
ORD-0003772,R-0005,2026-08-08,24.47,web,pickup,COMPLETED
ORD-0003773,R-0005,2026-08-14,16.72,app,pickup,Completed
ORD-0003774,R-0005,2026-08-24,16.86,app,delivery,completed
ORD-0003775,R-0005,2026-08-16,18.94,app,delivery,completed
ORD-0003776,R-0005,2026-08-16,16.91,web,pickup,completed
ORD-0003777,R-0005,2026-08-20,18.25,app,delivery,completed
ORD-0003778,R-0005,2026-08-16,18.55,web,delivery,completed
ORD-0003779,R-0005,2026-08-22,16.05,web,pickup,completed
ORD-0003780,R-0005,2026-08-04,17.82,web,delivery,completed
ORD-0003781,R-0005,2026-08-01,21.15,app,delivery,completed
ORD-0003782,R-0005,2026-08-27,13.11,app,delivery,completed
ORD-0003783,R-0005,2026-08-15,23.00,web,delivery,completed
ORD-0003784,R-0005,2026-08-09,17.19,web,pickup,completed
ORD-0003785,R-0005,2026-08-15,21.44,app,pickup,completed
ORD-0003786,R-0005,2026-08-21,16.27,app,delivery,completed
ORD-0003787,R-0005,2026-08-04,26.08,web,delivery,completed
